NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Last_Updated
AY1743,Hypertension - Rakta Gata Vata Acute,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1744,Arthritis - Sandhivata,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1745,Asthma - Tamaka Shwasa Vataja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1746,Migraine - Ardhavabhedaka Pittaja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1747,Depression - Vishada Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1748,Gastritis - Amlapitta Sannipataja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1749,Insomnia - Anidra Chronic,,Unknown,7A00,Chronic insomnia,0.400,Low,Optimized Semantic Matching,2025-09-04
AY1750,Constipation - Vibandha Acute,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1751,Obesity - Medoroga,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1752,Anemia - Pandu Vataja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY1753,Psoriasis - Kitibha Pittaja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1754,Eczema - Vicharchika Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1755,Urticaria - Sheetapitta Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1756,Rheumatism - Amavata Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1757,Epilepsy - Apasmara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1758,Diarrhea - Atisara,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1759,Cough - Kasa Vataja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1760,Cold - Pratishyaya Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1761,Hemorrhoids - Arsha Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1762,Urinary Stones - Ashmari Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1763,Jaundice - Kamala Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1764,Leucorrhea - Shweta Pradara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1765,Impotence - Klaibya,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1766,Gout - Vatarakta Vataja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1767,Sciatica - Gridhrasi Pittaja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1768,Vertigo - Bhrama Kaphaja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1769,Sinusitis - Dushta Pratishyaya Sannipataja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY1770,Bronchitis - Kasa Roga Chronic,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1771,Fever - Jwara Acute,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY1772,Diabetes - Madhumeha,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1773,Hypertension - Rakta Gata Vata Vataja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1774,Arthritis - Sandhivata Pittaja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1775,Asthma - Tamaka Shwasa Kaphaja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1776,Migraine - Ardhavabhedaka Sannipataja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1777,Depression - Vishada Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1778,Gastritis - Amlapitta Acute,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1779,Insomnia - Anidra,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1780,Constipation - Vibandha Vataja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1781,Obesity - Medoroga Pittaja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1782,Anemia - Pandu Kaphaja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY1783,Psoriasis - Kitibha Sannipataja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1784,Eczema - Vicharchika Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1785,Urticaria - Sheetapitta Acute,,Unknown,EB00.0,Acute Urticaria,0.400,Low,Optimized Semantic Matching,2025-09-04
AY1786,Rheumatism - Amavata,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1787,Epilepsy - Apasmara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1788,Diarrhea - Atisara Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1789,Cough - Kasa Kaphaja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1790,Cold - Pratishyaya Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1791,Hemorrhoids - Arsha Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1792,Urinary Stones - Ashmari Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1793,Jaundice - Kamala,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1794,Leucorrhea - Shweta Pradara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1795,Impotence - Klaibya Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1796,Gout - Vatarakta Kaphaja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1797,Sciatica - Gridhrasi Sannipataja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1798,Vertigo - Bhrama Chronic,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1799,Sinusitis - Dushta Pratishyaya Acute,,Unknown,1E91.41,Acute herpetic geniculate ganglionitis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1800,Bronchitis - Kasa Roga,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1801,Fever - Jwara Vataja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY1802,Diabetes - Madhumeha Pittaja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1803,Hypertension - Rakta Gata Vata Kaphaja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1804,Arthritis - Sandhivata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1805,Asthma - Tamaka Shwasa Chronic,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1806,Migraine - Ardhavabhedaka Acute,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1807,Depression - Vishada,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1808,Gastritis - Amlapitta Vataja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1809,Insomnia - Anidra Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1810,Constipation - Vibandha Kaphaja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1811,Obesity - Medoroga Sannipataja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1812,Anemia - Pandu Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1813,Psoriasis - Kitibha Acute,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1814,Eczema - Vicharchika,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1815,Urticaria - Sheetapitta Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1816,Rheumatism - Amavata Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1817,Epilepsy - Apasmara Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1818,Diarrhea - Atisara Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1819,Cough - Kasa Chronic,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1820,Cold - Pratishyaya Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1821,Hemorrhoids - Arsha,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1822,Urinary Stones - Ashmari Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1823,Jaundice - Kamala Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1824,Leucorrhea - Shweta Pradara Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1825,Impotence - Klaibya Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1826,Gout - Vatarakta Chronic,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1827,Sciatica - Gridhrasi Acute,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1828,Vertigo - Bhrama,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1829,Sinusitis - Dushta Pratishyaya Vataja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY1830,Bronchitis - Kasa Roga Pittaja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1831,Fever - Jwara Kaphaja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY1832,Diabetes - Madhumeha Sannipataja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1833,Hypertension - Rakta Gata Vata Chronic,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1834,Arthritis - Sandhivata Acute,,Unknown,1B41.1Z,"Acute rheumatic endocarditis, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY1835,Asthma - Tamaka Shwasa,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1836,Migraine - Ardhavabhedaka Vataja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1837,Depression - Vishada Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1838,Gastritis - Amlapitta Kaphaja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1839,Insomnia - Anidra Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1840,Constipation - Vibandha Chronic,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1841,Obesity - Medoroga Acute,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1842,Anemia - Pandu,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY1843,Psoriasis - Kitibha Vataja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1844,Eczema - Vicharchika Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1845,Urticaria - Sheetapitta Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1846,Rheumatism - Amavata Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1847,Epilepsy - Apasmara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1848,Diarrhea - Atisara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1849,Cough - Kasa,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1850,Cold - Pratishyaya Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1851,Hemorrhoids - Arsha Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1852,Urinary Stones - Ashmari Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1853,Jaundice - Kamala Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1854,Leucorrhea - Shweta Pradara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1855,Impotence - Klaibya Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1856,Gout - Vatarakta,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1857,Sciatica - Gridhrasi Vataja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1858,Vertigo - Bhrama Pittaja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1859,Sinusitis - Dushta Pratishyaya Kaphaja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY1860,Bronchitis - Kasa Roga Sannipataja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1861,Fever - Jwara Chronic,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY1862,Diabetes - Madhumeha Acute,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1863,Hypertension - Rakta Gata Vata,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1864,Arthritis - Sandhivata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1865,Asthma - Tamaka Shwasa Pittaja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1866,Migraine - Ardhavabhedaka Kaphaja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1867,Depression - Vishada Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1868,Gastritis - Amlapitta Chronic,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1869,Insomnia - Anidra Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1870,Constipation - Vibandha,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1871,Obesity - Medoroga Vataja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1872,Anemia - Pandu Pittaja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY1873,Psoriasis - Kitibha Kaphaja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1874,Eczema - Vicharchika Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1875,Urticaria - Sheetapitta Chronic,,Unknown,EB00.1,Chronic Urticaria,0.400,Low,Optimized Semantic Matching,2025-09-04
AY1876,Rheumatism - Amavata Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1877,Epilepsy - Apasmara,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1878,Diarrhea - Atisara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1879,Cough - Kasa Pittaja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1880,Cold - Pratishyaya Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1881,Hemorrhoids - Arsha Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1882,Urinary Stones - Ashmari Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1883,Jaundice - Kamala Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1884,Leucorrhea - Shweta Pradara,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1885,Impotence - Klaibya Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1886,Gout - Vatarakta Pittaja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1887,Sciatica - Gridhrasi Kaphaja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1888,Vertigo - Bhrama Sannipataja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1889,Sinusitis - Dushta Pratishyaya Chronic,,Unknown,2A81.7,Diffuse large Bcell lymphoma associated with Chronic inflammation,0.700,High,Optimized Semantic Matching,2025-09-04
AY1890,Bronchitis - Kasa Roga Acute,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1891,Fever - Jwara,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY1892,Diabetes - Madhumeha Vataja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1893,Hypertension - Rakta Gata Vata Pittaja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1894,Arthritis - Sandhivata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY1895,Asthma - Tamaka Shwasa Sannipataja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1896,Migraine - Ardhavabhedaka Chronic,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1897,Depression - Vishada Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1898,Gastritis - Amlapitta,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1899,Insomnia - Anidra Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1900,Constipation - Vibandha Pittaja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1901,Obesity - Medoroga Kaphaja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1902,Anemia - Pandu Sannipataja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY1903,Psoriasis - Kitibha Chronic,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1904,Eczema - Vicharchika Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1905,Urticaria - Sheetapitta,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1906,Rheumatism - Amavata Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1907,Epilepsy - Apasmara Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1908,Diarrhea - Atisara Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1909,Cough - Kasa Sannipataja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY1910,Cold - Pratishyaya Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1911,Hemorrhoids - Arsha Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1912,Urinary Stones - Ashmari,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1913,Jaundice - Kamala Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1914,Leucorrhea - Shweta Pradara Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1915,Impotence - Klaibya Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1916,Gout - Vatarakta Sannipataja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY1917,Sciatica - Gridhrasi Chronic,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY1918,Vertigo - Bhrama Acute,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY1919,Sinusitis - Dushta Pratishyaya,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY1920,Bronchitis - Kasa Roga Vataja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1921,Fever - Jwara Pittaja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY1922,Diabetes - Madhumeha Kaphaja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY1923,Hypertension - Rakta Gata Vata Sannipataja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY1924,Arthritis - Sandhivata Chronic,,Unknown,2A81.7,Diffuse large Bcell lymphoma associated with Chronic inflammation,0.700,High,Optimized Semantic Matching,2025-09-04
AY1925,Asthma - Tamaka Shwasa Acute,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY1926,Migraine - Ardhavabhedaka,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY1927,Depression - Vishada Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1928,Gastritis - Amlapitta Pittaja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1929,Insomnia - Anidra Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1930,Constipation - Vibandha Sannipataja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY1931,Obesity - Medoroga Chronic,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY1932,Anemia - Pandu Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1933,Psoriasis - Kitibha,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY1934,Eczema - Vicharchika Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1935,Urticaria - Sheetapitta Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1936,Rheumatism - Amavata Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1937,Epilepsy - Apasmara Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY1938,Diarrhea - Atisara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
