NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Medical_System,Last_Updated
AY0363,Hypertension - Rakta Gata Vata Chronic,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0364,Arthritis - Sandhivata Acute,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0365,Asthma - Tamaka Shwasa,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0366,Migraine - Ardhavabhedaka Vataja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0367,Depression - Vishada Pittaja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0368,Gastritis - Amlapitta Kaphaja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0369,Insomnia - Anidra Sannipataja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0370,Constipation - Vibandha Chronic,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0371,Obesity - Medoroga Acute,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0372,Anemia - Pandu,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0373,Psoriasis - Kitibha Vataja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0374,Eczema - Vicharchika Pittaja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0375,Urticaria - Sheetapitta Kaphaja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0376,Rheumatism - Amavata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0377,Epilepsy - Apasmara Chronic,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0378,Diarrhea - Atisara Acute,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0379,Cough - Kasa,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0380,Cold - Pratishyaya Vataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0381,Hemorrhoids - Arsha Pittaja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0382,Urinary Stones - Ashmari Kaphaja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0383,Jaundice - Kamala Sannipataja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0384,Leucorrhea - Shweta Pradara Chronic,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0385,Impotence - Klaibya Acute,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0386,Gout - Vatarakta,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0387,Sciatica - Gridhrasi Vataja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0388,Vertigo - Bhrama Pittaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0389,Sinusitis - Dushta Pratishyaya Kaphaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0390,Bronchitis - Kasa Roga Sannipataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0391,Fever - Jwara Chronic,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0392,Diabetes - Madhumeha Acute,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0393,Hypertension - Rakta Gata Vata,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0394,Arthritis - Sandhivata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0395,Asthma - Tamaka Shwasa Pittaja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0396,Migraine - Ardhavabhedaka Kaphaja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0397,Depression - Vishada Sannipataja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0398,Gastritis - Amlapitta Chronic,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0399,Insomnia - Anidra Acute,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0400,Constipation - Vibandha,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0401,Obesity - Medoroga Vataja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0402,Anemia - Pandu Pittaja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0403,Psoriasis - Kitibha Kaphaja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0404,Eczema - Vicharchika Sannipataja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0405,Urticaria - Sheetapitta Chronic,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0406,Rheumatism - Amavata Acute,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0407,Epilepsy - Apasmara,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0408,Diarrhea - Atisara Vataja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0409,Cough - Kasa Pittaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0410,Cold - Pratishyaya Kaphaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0411,Hemorrhoids - Arsha Sannipataja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0412,Urinary Stones - Ashmari Chronic,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0413,Jaundice - Kamala Acute,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0414,Leucorrhea - Shweta Pradara,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0415,Impotence - Klaibya Vataja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0416,Gout - Vatarakta Pittaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0417,Sciatica - Gridhrasi Kaphaja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0418,Vertigo - Bhrama Sannipataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0419,Sinusitis - Dushta Pratishyaya Chronic,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0420,Bronchitis - Kasa Roga Acute,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0421,Fever - Jwara,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0422,Diabetes - Madhumeha Vataja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0423,Hypertension - Rakta Gata Vata Pittaja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0424,Arthritis - Sandhivata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0425,Asthma - Tamaka Shwasa Sannipataja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0426,Migraine - Ardhavabhedaka Chronic,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0427,Depression - Vishada Acute,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0428,Gastritis - Amlapitta,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0429,Insomnia - Anidra Vataja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0430,Constipation - Vibandha Pittaja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0431,Obesity - Medoroga Kaphaja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0432,Anemia - Pandu Sannipataja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0433,Psoriasis - Kitibha Chronic,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0434,Eczema - Vicharchika Acute,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0435,Urticaria - Sheetapitta,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0436,Rheumatism - Amavata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0437,Epilepsy - Apasmara Pittaja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0438,Diarrhea - Atisara Kaphaja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0439,Cough - Kasa Sannipataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0440,Cold - Pratishyaya Chronic,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0441,Hemorrhoids - Arsha Acute,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0442,Urinary Stones - Ashmari,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0443,Jaundice - Kamala Vataja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0444,Leucorrhea - Shweta Pradara Pittaja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0445,Impotence - Klaibya Kaphaja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0446,Gout - Vatarakta Sannipataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0447,Sciatica - Gridhrasi Chronic,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0448,Vertigo - Bhrama Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0449,Sinusitis - Dushta Pratishyaya,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0450,Bronchitis - Kasa Roga Vataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0451,Fever - Jwara Pittaja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0452,Diabetes - Madhumeha Kaphaja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0453,Hypertension - Rakta Gata Vata Sannipataja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0454,Arthritis - Sandhivata Chronic,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0455,Asthma - Tamaka Shwasa Acute,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0456,Migraine - Ardhavabhedaka,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0457,Depression - Vishada Vataja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0458,Gastritis - Amlapitta Pittaja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0459,Insomnia - Anidra Kaphaja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0460,Constipation - Vibandha Sannipataja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0461,Obesity - Medoroga Chronic,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0462,Anemia - Pandu Acute,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0463,Psoriasis - Kitibha,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0464,Eczema - Vicharchika Vataja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0465,Urticaria - Sheetapitta Pittaja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0466,Rheumatism - Amavata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0467,Epilepsy - Apasmara Sannipataja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0468,Diarrhea - Atisara Chronic,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0469,Cough - Kasa Acute,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0470,Cold - Pratishyaya,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0471,Hemorrhoids - Arsha Vataja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0472,Urinary Stones - Ashmari Pittaja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0473,Jaundice - Kamala Kaphaja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0474,Leucorrhea - Shweta Pradara Sannipataja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0475,Impotence - Klaibya Chronic,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0476,Gout - Vatarakta Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0477,Sciatica - Gridhrasi,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0478,Vertigo - Bhrama Vataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0479,Sinusitis - Dushta Pratishyaya Pittaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0480,Bronchitis - Kasa Roga Kaphaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0481,Fever - Jwara Sannipataja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0482,Diabetes - Madhumeha Chronic,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0483,Hypertension - Rakta Gata Vata Acute,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0484,Arthritis - Sandhivata,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0485,Asthma - Tamaka Shwasa Vataja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0486,Migraine - Ardhavabhedaka Pittaja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0487,Depression - Vishada Kaphaja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0488,Gastritis - Amlapitta Sannipataja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0489,Insomnia - Anidra Chronic,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0490,Constipation - Vibandha Acute,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0491,Obesity - Medoroga,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0492,Anemia - Pandu Vataja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0493,Psoriasis - Kitibha Pittaja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0494,Eczema - Vicharchika Kaphaja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0495,Urticaria - Sheetapitta Sannipataja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0496,Rheumatism - Amavata Chronic,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0497,Epilepsy - Apasmara Acute,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0498,Diarrhea - Atisara,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0499,Cough - Kasa Vataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0500,Cold - Pratishyaya Pittaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0501,Hemorrhoids - Arsha Kaphaja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0502,Urinary Stones - Ashmari Sannipataja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0503,Jaundice - Kamala Chronic,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0504,Leucorrhea - Shweta Pradara Acute,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0505,Impotence - Klaibya,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0506,Gout - Vatarakta Vataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0507,Sciatica - Gridhrasi Pittaja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0508,Vertigo - Bhrama Kaphaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0509,Sinusitis - Dushta Pratishyaya Sannipataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0510,Bronchitis - Kasa Roga Chronic,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0511,Fever - Jwara Acute,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0512,Diabetes - Madhumeha,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0513,Hypertension - Rakta Gata Vata Vataja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0514,Arthritis - Sandhivata Pittaja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0515,Asthma - Tamaka Shwasa Kaphaja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0516,Migraine - Ardhavabhedaka Sannipataja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0517,Depression - Vishada Chronic,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0518,Gastritis - Amlapitta Acute,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0519,Insomnia - Anidra,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0520,Constipation - Vibandha Vataja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0521,Obesity - Medoroga Pittaja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0522,Anemia - Pandu Kaphaja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0523,Psoriasis - Kitibha Sannipataja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0524,Eczema - Vicharchika Chronic,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0525,Urticaria - Sheetapitta Acute,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0526,Rheumatism - Amavata,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0527,Epilepsy - Apasmara Vataja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0528,Diarrhea - Atisara Pittaja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0529,Cough - Kasa Kaphaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0530,Cold - Pratishyaya Sannipataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0531,Hemorrhoids - Arsha Chronic,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0532,Urinary Stones - Ashmari Acute,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0533,Jaundice - Kamala,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0534,Leucorrhea - Shweta Pradara Vataja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0535,Impotence - Klaibya Pittaja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0536,Gout - Vatarakta Kaphaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0537,Sciatica - Gridhrasi Sannipataja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0538,Vertigo - Bhrama Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0539,Sinusitis - Dushta Pratishyaya Acute,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0540,Bronchitis - Kasa Roga,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0541,Fever - Jwara Vataja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0542,Diabetes - Madhumeha Pittaja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0543,Hypertension - Rakta Gata Vata Kaphaja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0544,Arthritis - Sandhivata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0545,Asthma - Tamaka Shwasa Chronic,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0546,Migraine - Ardhavabhedaka Acute,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
