NAMASTE_Code,NAMASTE_Display,NAMASTE_System,NAMASTE_Definition,ICD11_TM2_Code,ICD11_TM2_Display,ICD11_TM2_Category,Equivalence_Type,Mapping_Accuracy,Clinical_Validation,Traditional_Name_Sanskrit,Traditional_Name_Arabic,Traditional_Name_Tamil
AY2024,Eczema - Vicharchika,Ayurveda,Eczema condition with traditional Ayurvedic understanding,EA80,Atopic dermatitis,Dermatological,equivalent,97.7,approved,विचर्चिका,,
AY2025,Urticaria - Sheetapitta Vataja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Vataja,EB01,Acute urticaria,Dermatological,equivalent,97.8,approved,शीतपित्त,,
AY2026,Rheumatism - Amavata Pittaja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Pittaja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,97.0,approved,आमवात,,
AY2027,Epilepsy - Apasmara Kaphaja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Kaphaja,8A61,Epilepsy,Neurological,equivalent,97.6,approved,अपस्मार,,
AY2028,Diarrhea - Atisara Sannipataja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Sannipataja,1E10,Diarrhoea,Digestive,equivalent,96.6,approved,अतिसार,,
AY2029,Cough - Kasa Chronic,Ayurveda,Cough condition with traditional Ayurvedic understanding Chronic,MD11,Cough,Respiratory,equivalent,96.6,approved,कास,,
AY2030,Cold - Pratishyaya Acute,Ayurveda,Cold condition with traditional Ayurvedic understanding Acute,CA00,Common cold,Respiratory,equivalent,95.7,approved,प्रतिश्याय,,
AY2031,Hemorrhoids - Arsha,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding,DB31,Haemorrhoids,Digestive,equivalent,96.0,approved,अर्श,,
AY2032,Urinary Stones - Ashmari Vataja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Vataja,GC01,Kidney stone,Genitourinary,equivalent,97.0,approved,अश्मरी,,
AY2033,Jaundice - Kamala Pittaja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Pittaja,DB90,Hepatitis unspecified,Digestive,equivalent,97.6,approved,कामला,,
AY2034,Leucorrhea - Shweta Pradara Kaphaja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Kaphaja,GC08,Vaginal discharge,Genitourinary,equivalent,97.1,approved,श्वेत प्रदर,,
AY2035,Impotence - Klaibya Sannipataja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Sannipataja,HA01,Erectile dysfunction,Genitourinary,equivalent,97.3,approved,क्लैब्य,,
AY2036,Gout - Vatarakta Chronic,Ayurveda,Gout condition with traditional Ayurvedic understanding Chronic,FA25,Gout,Musculoskeletal,equivalent,97.3,approved,वातरक्त,,
AY2037,Sciatica - Gridhrasi Acute,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Acute,8B93,Sciatica,Neurological,equivalent,97.4,approved,गृध्रसी,,
AY2038,Vertigo - Bhrama,Ayurveda,Vertigo condition with traditional Ayurvedic understanding,MB48,Vertigo,Neurological,equivalent,97.0,approved,भ्रम,,
AY2039,Sinusitis - Dushta Pratishyaya Vataja,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Vataja,CA11,Sinusitis,Respiratory,equivalent,96.8,approved,दुष्ट प्रतिश्याय,,
AY2040,Bronchitis - Kasa Roga Pittaja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Pittaja,CA40,Bronchitis,Respiratory,equivalent,95.8,approved,कास रोग,,
AY2041,Fever - Jwara Kaphaja,Ayurveda,Fever condition with traditional Ayurvedic understanding Kaphaja,MG30.0,Fever unspecified,Symptoms,equivalent,95.7,approved,ज्वर,,
AY2042,Diabetes - Madhumeha Sannipataja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Sannipataja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,96.6,approved,मधुमेह,,
AY2043,Hypertension - Rakta Gata Vata Chronic,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Chronic,BA00,Essential hypertension,Circulatory,equivalent,97.6,approved,रक्तगत वात,,
AY2044,Arthritis - Sandhivata Acute,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Acute,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,97.5,approved,संधिवात,,
AY2045,Asthma - Tamaka Shwasa,Ayurveda,Asthma condition with traditional Ayurvedic understanding,CA23,Asthma,Respiratory,equivalent,95.2,approved,तमक श्वास,,
AY2046,Migraine - Ardhavabhedaka Vataja,Ayurveda,Migraine condition with traditional Ayurvedic understanding Vataja,8A80,Migraine,Neurological,equivalent,97.0,approved,अर्धावभेदक,,
AY2047,Depression - Vishada Pittaja,Ayurveda,Depression condition with traditional Ayurvedic understanding Pittaja,6A70,Single episode depressive disorder,Mental,equivalent,96.2,approved,विषाद,,
AY2048,Gastritis - Amlapitta Kaphaja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Kaphaja,DA60,Gastritis,Digestive,equivalent,97.2,approved,अम्लपित्त,,
AY2049,Insomnia - Anidra Sannipataja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Sannipataja,7A00,Insomnia,Sleep,equivalent,97.4,approved,अनिद्रा,,
AY2050,Constipation - Vibandha Chronic,Ayurveda,Constipation condition with traditional Ayurvedic understanding Chronic,ME05,Constipation,Digestive,equivalent,97.0,approved,विबन्ध,,
AY2051,Obesity - Medoroga Acute,Ayurveda,Obesity condition with traditional Ayurvedic understanding Acute,5B81,Obesity,Endocrine,equivalent,96.7,approved,मेदोरोग,,
AY2052,Anemia - Pandu,Ayurveda,Anemia condition with traditional Ayurvedic understanding,3A00,Iron deficiency anaemia,Blood,equivalent,95.9,approved,पाण्डु,,
AY2053,Psoriasis - Kitibha Vataja,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Vataja,EA90,Psoriasis,Dermatological,equivalent,97.2,approved,कितिभ,,
AY2054,Eczema - Vicharchika Pittaja,Ayurveda,Eczema condition with traditional Ayurvedic understanding Pittaja,EA80,Atopic dermatitis,Dermatological,equivalent,96.5,approved,विचर्चिका,,
AY2055,Urticaria - Sheetapitta Kaphaja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Kaphaja,EB01,Acute urticaria,Dermatological,equivalent,96.0,approved,शीतपित्त,,
AY2056,Rheumatism - Amavata Sannipataja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Sannipataja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,96.6,approved,आमवात,,
AY2057,Epilepsy - Apasmara Chronic,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Chronic,8A61,Epilepsy,Neurological,equivalent,97.2,approved,अपस्मार,,
AY2058,Diarrhea - Atisara Acute,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Acute,1E10,Diarrhoea,Digestive,equivalent,95.7,approved,अतिसार,,
AY2059,Cough - Kasa,Ayurveda,Cough condition with traditional Ayurvedic understanding,MD11,Cough,Respiratory,equivalent,96.3,approved,कास,,
AY2060,Cold - Pratishyaya Vataja,Ayurveda,Cold condition with traditional Ayurvedic understanding Vataja,CA00,Common cold,Respiratory,equivalent,97.6,approved,प्रतिश्याय,,
AY2061,Hemorrhoids - Arsha Pittaja,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Pittaja,DB31,Haemorrhoids,Digestive,equivalent,95.9,approved,अर्श,,
AY2062,Urinary Stones - Ashmari Kaphaja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Kaphaja,GC01,Kidney stone,Genitourinary,equivalent,97.4,approved,अश्मरी,,
AY2063,Jaundice - Kamala Sannipataja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Sannipataja,DB90,Hepatitis unspecified,Digestive,equivalent,95.0,approved,कामला,,
AY2064,Leucorrhea - Shweta Pradara Chronic,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Chronic,GC08,Vaginal discharge,Genitourinary,equivalent,95.6,approved,श्वेत प्रदर,,
AY2065,Impotence - Klaibya Acute,Ayurveda,Impotence condition with traditional Ayurvedic understanding Acute,HA01,Erectile dysfunction,Genitourinary,equivalent,97.4,approved,क्लैब्य,,
AY2066,Gout - Vatarakta,Ayurveda,Gout condition with traditional Ayurvedic understanding,FA25,Gout,Musculoskeletal,equivalent,95.6,approved,वातरक्त,,
AY2067,Sciatica - Gridhrasi Vataja,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Vataja,8B93,Sciatica,Neurological,equivalent,97.4,approved,गृध्रसी,,
AY2068,Vertigo - Bhrama Pittaja,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Pittaja,MB48,Vertigo,Neurological,equivalent,97.6,approved,भ्रम,,
AY2069,Sinusitis - Dushta Pratishyaya Kaphaja,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Kaphaja,CA11,Sinusitis,Respiratory,equivalent,97.8,approved,दुष्ट प्रतिश्याय,,
AY2070,Bronchitis - Kasa Roga Sannipataja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Sannipataja,CA40,Bronchitis,Respiratory,equivalent,95.2,approved,कास रोग,,
AY2071,Fever - Jwara Chronic,Ayurveda,Fever condition with traditional Ayurvedic understanding Chronic,MG30.0,Fever unspecified,Symptoms,equivalent,96.6,approved,ज्वर,,
AY2072,Diabetes - Madhumeha Acute,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Acute,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,96.5,approved,मधुमेह,,
AY2073,Hypertension - Rakta Gata Vata,Ayurveda,Hypertension condition with traditional Ayurvedic understanding,BA00,Essential hypertension,Circulatory,equivalent,97.2,approved,रक्तगत वात,,
AY2074,Arthritis - Sandhivata Vataja,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Vataja,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,96.1,approved,संधिवात,,
AY2075,Asthma - Tamaka Shwasa Pittaja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Pittaja,CA23,Asthma,Respiratory,equivalent,97.3,approved,तमक श्वास,,
AY2076,Migraine - Ardhavabhedaka Kaphaja,Ayurveda,Migraine condition with traditional Ayurvedic understanding Kaphaja,8A80,Migraine,Neurological,equivalent,96.4,approved,अर्धावभेदक,,
AY2077,Depression - Vishada Sannipataja,Ayurveda,Depression condition with traditional Ayurvedic understanding Sannipataja,6A70,Single episode depressive disorder,Mental,equivalent,96.3,approved,विषाद,,
AY2078,Gastritis - Amlapitta Chronic,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Chronic,DA60,Gastritis,Digestive,equivalent,97.0,approved,अम्लपित्त,,
AY2079,Insomnia - Anidra Acute,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Acute,7A00,Insomnia,Sleep,equivalent,95.3,approved,अनिद्रा,,
AY2080,Constipation - Vibandha,Ayurveda,Constipation condition with traditional Ayurvedic understanding,ME05,Constipation,Digestive,equivalent,95.9,approved,विबन्ध,,
AY2081,Obesity - Medoroga Vataja,Ayurveda,Obesity condition with traditional Ayurvedic understanding Vataja,5B81,Obesity,Endocrine,equivalent,96.6,approved,मेदोरोग,,
AY2082,Anemia - Pandu Pittaja,Ayurveda,Anemia condition with traditional Ayurvedic understanding Pittaja,3A00,Iron deficiency anaemia,Blood,equivalent,96.9,approved,पाण्डु,,
AY2083,Psoriasis - Kitibha Kaphaja,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Kaphaja,EA90,Psoriasis,Dermatological,equivalent,95.8,approved,कितिभ,,
AY2084,Eczema - Vicharchika Sannipataja,Ayurveda,Eczema condition with traditional Ayurvedic understanding Sannipataja,EA80,Atopic dermatitis,Dermatological,equivalent,95.2,approved,विचर्चिका,,
AY2085,Urticaria - Sheetapitta Chronic,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Chronic,EB01,Acute urticaria,Dermatological,equivalent,95.4,approved,शीतपित्त,,
AY2086,Rheumatism - Amavata Acute,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Acute,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,95.9,approved,आमवात,,
AY2087,Epilepsy - Apasmara,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding,8A61,Epilepsy,Neurological,equivalent,95.6,approved,अपस्मार,,
AY2088,Diarrhea - Atisara Vataja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Vataja,1E10,Diarrhoea,Digestive,equivalent,97.7,approved,अतिसार,,
AY2089,Cough - Kasa Pittaja,Ayurveda,Cough condition with traditional Ayurvedic understanding Pittaja,MD11,Cough,Respiratory,equivalent,97.0,approved,कास,,
AY2090,Cold - Pratishyaya Kaphaja,Ayurveda,Cold condition with traditional Ayurvedic understanding Kaphaja,CA00,Common cold,Respiratory,equivalent,97.0,approved,प्रतिश्याय,,
AY2091,Hemorrhoids - Arsha Sannipataja,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Sannipataja,DB31,Haemorrhoids,Digestive,equivalent,95.9,approved,अर्श,,
AY2092,Urinary Stones - Ashmari Chronic,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Chronic,GC01,Kidney stone,Genitourinary,equivalent,96.7,approved,अश्मरी,,
AY2093,Jaundice - Kamala Acute,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Acute,DB90,Hepatitis unspecified,Digestive,equivalent,95.4,approved,कामला,,
AY2094,Leucorrhea - Shweta Pradara,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding,GC08,Vaginal discharge,Genitourinary,equivalent,96.4,approved,श्वेत प्रदर,,
AY2095,Impotence - Klaibya Vataja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Vataja,HA01,Erectile dysfunction,Genitourinary,equivalent,95.7,approved,क्लैब्य,,
AY2096,Gout - Vatarakta Pittaja,Ayurveda,Gout condition with traditional Ayurvedic understanding Pittaja,FA25,Gout,Musculoskeletal,equivalent,96.9,approved,वातरक्त,,
AY2097,Sciatica - Gridhrasi Kaphaja,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Kaphaja,8B93,Sciatica,Neurological,equivalent,97.8,approved,गृध्रसी,,
AY2098,Vertigo - Bhrama Sannipataja,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Sannipataja,MB48,Vertigo,Neurological,equivalent,95.9,approved,भ्रम,,
AY2099,Sinusitis - Dushta Pratishyaya Chronic,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Chronic,CA11,Sinusitis,Respiratory,equivalent,96.9,approved,दुष्ट प्रतिश्याय,,
AY2100,Bronchitis - Kasa Roga Acute,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Acute,CA40,Bronchitis,Respiratory,equivalent,96.2,approved,कास रोग,,
AY2101,Fever - Jwara,Ayurveda,Fever condition with traditional Ayurvedic understanding,MG30.0,Fever unspecified,Symptoms,equivalent,95.2,approved,ज्वर,,
AY2102,Diabetes - Madhumeha Vataja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Vataja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,97.2,approved,मधुमेह,,
AY2103,Hypertension - Rakta Gata Vata Pittaja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Pittaja,BA00,Essential hypertension,Circulatory,equivalent,95.5,approved,रक्तगत वात,,
AY2104,Arthritis - Sandhivata Kaphaja,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Kaphaja,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,96.0,approved,संधिवात,,
AY2105,Asthma - Tamaka Shwasa Sannipataja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Sannipataja,CA23,Asthma,Respiratory,equivalent,95.1,approved,तमक श्वास,,
AY2106,Migraine - Ardhavabhedaka Chronic,Ayurveda,Migraine condition with traditional Ayurvedic understanding Chronic,8A80,Migraine,Neurological,equivalent,97.9,approved,अर्धावभेदक,,
AY2107,Depression - Vishada Acute,Ayurveda,Depression condition with traditional Ayurvedic understanding Acute,6A70,Single episode depressive disorder,Mental,equivalent,97.7,approved,विषाद,,
AY2108,Gastritis - Amlapitta,Ayurveda,Gastritis condition with traditional Ayurvedic understanding,DA60,Gastritis,Digestive,equivalent,97.9,approved,अम्लपित्त,,
AY2109,Insomnia - Anidra Vataja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Vataja,7A00,Insomnia,Sleep,equivalent,96.1,approved,अनिद्रा,,
AY2110,Constipation - Vibandha Pittaja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Pittaja,ME05,Constipation,Digestive,equivalent,97.4,approved,विबन्ध,,
AY2111,Obesity - Medoroga Kaphaja,Ayurveda,Obesity condition with traditional Ayurvedic understanding Kaphaja,5B81,Obesity,Endocrine,equivalent,96.0,approved,मेदोरोग,,
AY2112,Anemia - Pandu Sannipataja,Ayurveda,Anemia condition with traditional Ayurvedic understanding Sannipataja,3A00,Iron deficiency anaemia,Blood,equivalent,96.7,approved,पाण्डु,,
AY2113,Psoriasis - Kitibha Chronic,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Chronic,EA90,Psoriasis,Dermatological,equivalent,96.5,approved,कितिभ,,
AY2114,Eczema - Vicharchika Acute,Ayurveda,Eczema condition with traditional Ayurvedic understanding Acute,EA80,Atopic dermatitis,Dermatological,equivalent,95.0,approved,विचर्चिका,,
AY2115,Urticaria - Sheetapitta,Ayurveda,Urticaria condition with traditional Ayurvedic understanding,EB01,Acute urticaria,Dermatological,equivalent,96.7,approved,शीतपित्त,,
AY2116,Rheumatism - Amavata Vataja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Vataja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,95.5,approved,आमवात,,
AY2117,Epilepsy - Apasmara Pittaja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Pittaja,8A61,Epilepsy,Neurological,equivalent,96.8,approved,अपस्मार,,
AY2118,Diarrhea - Atisara Kaphaja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Kaphaja,1E10,Diarrhoea,Digestive,equivalent,96.8,approved,अतिसार,,
AY2119,Cough - Kasa Sannipataja,Ayurveda,Cough condition with traditional Ayurvedic understanding Sannipataja,MD11,Cough,Respiratory,equivalent,96.4,approved,कास,,
AY2120,Cold - Pratishyaya Chronic,Ayurveda,Cold condition with traditional Ayurvedic understanding Chronic,CA00,Common cold,Respiratory,equivalent,95.7,approved,प्रतिश्याय,,
AY2121,Hemorrhoids - Arsha Acute,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Acute,DB31,Haemorrhoids,Digestive,equivalent,96.6,approved,अर्श,,
AY2122,Urinary Stones - Ashmari,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding,GC01,Kidney stone,Genitourinary,equivalent,96.7,approved,अश्मरी,,
AY2123,Jaundice - Kamala Vataja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Vataja,DB90,Hepatitis unspecified,Digestive,equivalent,96.2,approved,कामला,,
AY2124,Leucorrhea - Shweta Pradara Pittaja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Pittaja,GC08,Vaginal discharge,Genitourinary,equivalent,96.4,approved,श्वेत प्रदर,,
AY2125,Impotence - Klaibya Kaphaja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Kaphaja,HA01,Erectile dysfunction,Genitourinary,equivalent,95.5,approved,क्लैब्य,,
AY2126,Gout - Vatarakta Sannipataja,Ayurveda,Gout condition with traditional Ayurvedic understanding Sannipataja,FA25,Gout,Musculoskeletal,equivalent,96.3,approved,वातरक्त,,
AY2127,Sciatica - Gridhrasi Chronic,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Chronic,8B93,Sciatica,Neurological,equivalent,95.1,approved,गृध्रसी,,
AY2128,Vertigo - Bhrama Acute,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Acute,MB48,Vertigo,Neurological,equivalent,96.9,approved,भ्रम,,
AY2129,Sinusitis - Dushta Pratishyaya,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding,CA11,Sinusitis,Respiratory,equivalent,96.8,approved,दुष्ट प्रतिश्याय,,
AY2130,Bronchitis - Kasa Roga Vataja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Vataja,CA40,Bronchitis,Respiratory,equivalent,97.8,approved,कास रोग,,
AY2131,Fever - Jwara Pittaja,Ayurveda,Fever condition with traditional Ayurvedic understanding Pittaja,MG30.0,Fever unspecified,Symptoms,equivalent,95.0,approved,ज्वर,,
AY2132,Diabetes - Madhumeha Kaphaja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Kaphaja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,95.5,approved,मधुमेह,,
AY2133,Hypertension - Rakta Gata Vata Sannipataja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Sannipataja,BA00,Essential hypertension,Circulatory,equivalent,97.7,approved,रक्तगत वात,,
AY2134,Arthritis - Sandhivata Chronic,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Chronic,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,95.8,approved,संधिवात,,
AY2135,Asthma - Tamaka Shwasa Acute,Ayurveda,Asthma condition with traditional Ayurvedic understanding Acute,CA23,Asthma,Respiratory,equivalent,97.7,approved,तमक श्वास,,
AY2136,Migraine - Ardhavabhedaka,Ayurveda,Migraine condition with traditional Ayurvedic understanding,8A80,Migraine,Neurological,equivalent,95.9,approved,अर्धावभेदक,,
AY2137,Depression - Vishada Vataja,Ayurveda,Depression condition with traditional Ayurvedic understanding Vataja,6A70,Single episode depressive disorder,Mental,equivalent,97.0,approved,विषाद,,
AY2138,Gastritis - Amlapitta Pittaja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Pittaja,DA60,Gastritis,Digestive,equivalent,96.8,approved,अम्लपित्त,,
AY2139,Insomnia - Anidra Kaphaja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Kaphaja,7A00,Insomnia,Sleep,equivalent,97.7,approved,अनिद्रा,,
AY2140,Constipation - Vibandha Sannipataja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Sannipataja,ME05,Constipation,Digestive,equivalent,96.2,approved,विबन्ध,,
AY2141,Obesity - Medoroga Chronic,Ayurveda,Obesity condition with traditional Ayurvedic understanding Chronic,5B81,Obesity,Endocrine,equivalent,95.7,approved,मेदोरोग,,
AY2142,Anemia - Pandu Acute,Ayurveda,Anemia condition with traditional Ayurvedic understanding Acute,3A00,Iron deficiency anaemia,Blood,equivalent,96.5,approved,पाण्डु,,
AY2143,Psoriasis - Kitibha,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding,EA90,Psoriasis,Dermatological,equivalent,95.0,approved,कितिभ,,
AY2144,Eczema - Vicharchika Vataja,Ayurveda,Eczema condition with traditional Ayurvedic understanding Vataja,EA80,Atopic dermatitis,Dermatological,equivalent,95.0,approved,विचर्चिका,,
AY2145,Urticaria - Sheetapitta Pittaja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Pittaja,EB01,Acute urticaria,Dermatological,equivalent,95.4,approved,शीतपित्त,,
AY2146,Rheumatism - Amavata Kaphaja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Kaphaja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,97.0,approved,आमवात,,
AY2147,Epilepsy - Apasmara Sannipataja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Sannipataja,8A61,Epilepsy,Neurological,equivalent,97.8,approved,अपस्मार,,
AY2148,Diarrhea - Atisara Chronic,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Chronic,1E10,Diarrhoea,Digestive,equivalent,97.6,approved,अतिसार,,
AY2149,Cough - Kasa Acute,Ayurveda,Cough condition with traditional Ayurvedic understanding Acute,MD11,Cough,Respiratory,equivalent,95.3,approved,कास,,
AY2150,Cold - Pratishyaya,Ayurveda,Cold condition with traditional Ayurvedic understanding,CA00,Common cold,Respiratory,equivalent,95.2,approved,प्रतिश्याय,,
AY2151,Hemorrhoids - Arsha Vataja,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Vataja,DB31,Haemorrhoids,Digestive,equivalent,96.6,approved,अर्श,,
AY2152,Urinary Stones - Ashmari Pittaja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Pittaja,GC01,Kidney stone,Genitourinary,equivalent,95.2,approved,अश्मरी,,
AY2153,Jaundice - Kamala Kaphaja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Kaphaja,DB90,Hepatitis unspecified,Digestive,equivalent,96.6,approved,कामला,,
AY2154,Leucorrhea - Shweta Pradara Sannipataja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Sannipataja,GC08,Vaginal discharge,Genitourinary,equivalent,96.6,approved,श्वेत प्रदर,,
AY2155,Impotence - Klaibya Chronic,Ayurveda,Impotence condition with traditional Ayurvedic understanding Chronic,HA01,Erectile dysfunction,Genitourinary,equivalent,96.1,approved,क्लैब्य,,
AY2156,Gout - Vatarakta Acute,Ayurveda,Gout condition with traditional Ayurvedic understanding Acute,FA25,Gout,Musculoskeletal,equivalent,97.5,approved,वातरक्त,,
AY2157,Sciatica - Gridhrasi,Ayurveda,Sciatica condition with traditional Ayurvedic understanding,8B93,Sciatica,Neurological,equivalent,97.4,approved,गृध्रसी,,
AY2158,Vertigo - Bhrama Vataja,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Vataja,MB48,Vertigo,Neurological,equivalent,97.1,approved,भ्रम,,
AY2159,Sinusitis - Dushta Pratishyaya Pittaja,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Pittaja,CA11,Sinusitis,Respiratory,equivalent,95.5,approved,दुष्ट प्रतिश्याय,,
AY2160,Bronchitis - Kasa Roga Kaphaja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Kaphaja,CA40,Bronchitis,Respiratory,equivalent,97.3,approved,कास रोग,,
AY2161,Fever - Jwara Sannipataja,Ayurveda,Fever condition with traditional Ayurvedic understanding Sannipataja,MG30.0,Fever unspecified,Symptoms,equivalent,96.9,approved,ज्वर,,
AY2162,Diabetes - Madhumeha Chronic,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Chronic,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,97.6,approved,मधुमेह,,
AY2163,Hypertension - Rakta Gata Vata Acute,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Acute,BA00,Essential hypertension,Circulatory,equivalent,96.8,approved,रक्तगत वात,,
AY2164,Arthritis - Sandhivata,Ayurveda,Arthritis condition with traditional Ayurvedic understanding,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,95.1,approved,संधिवात,,
AY2165,Asthma - Tamaka Shwasa Vataja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Vataja,CA23,Asthma,Respiratory,equivalent,96.1,approved,तमक श्वास,,
AY2166,Migraine - Ardhavabhedaka Pittaja,Ayurveda,Migraine condition with traditional Ayurvedic understanding Pittaja,8A80,Migraine,Neurological,equivalent,97.2,approved,अर्धावभेदक,,
AY2167,Depression - Vishada Kaphaja,Ayurveda,Depression condition with traditional Ayurvedic understanding Kaphaja,6A70,Single episode depressive disorder,Mental,equivalent,96.4,approved,विषाद,,
AY2168,Gastritis - Amlapitta Sannipataja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Sannipataja,DA60,Gastritis,Digestive,equivalent,97.8,approved,अम्लपित्त,,
AY2169,Insomnia - Anidra Chronic,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Chronic,7A00,Insomnia,Sleep,equivalent,96.2,approved,अनिद्रा,,
AY2170,Constipation - Vibandha Acute,Ayurveda,Constipation condition with traditional Ayurvedic understanding Acute,ME05,Constipation,Digestive,equivalent,97.2,approved,विबन्ध,,
